band_name,original_city_label,notes
The Rolling Stones,London,
The Clash,London,
Blur,London,
Coldplay,London,
Florence and the Machine,London,
Black Sabbath,Birmingham,
ELO,Birmingham,
Duran Duran,Birmingham,
UB40,Birmingham,
Editors,Birmingham,
Oasis,Manchester,
The Smiths,Manchester,
New Order,Manchester,
The Stone Roses,Manchester,
The 1975,Manchester,
Simple Minds,Glasgow,
Primal Scream,Glasgow,
Belle and Sebastian,Glasgow,
Franz Ferdinand,Glasgow,
CHVRCHES,Glasgow,
The Beatles,Liverpool,
Echo & the Bunnymen,Liverpool,
Frankie Goes to Hollywood,Liverpool,
The La's,Liverpool,
The Wombats,Liverpool,
Kaiser Chiefs,Leeds,
Soft Cell,Leeds,
Alt-J,Leeds,
Sisters of Mercy,Leeds,
The Wedding Present,Leeds,
Def Leppard,Sheffield,
The Human League,Sheffield,
Pulp,Sheffield,
Arctic Monkeys,Sheffield,
Bring Me The Horizon,Sheffield,
Smokie,Bradford,
Tasmin Archer,Bradford,
Kiki Dee,Bradford,
Ivyrise,Bradford,
The Cult,Bradford,"Original notebook note: The Cult formed nearby"
Massive Attack,Bristol,
Portishead,Bristol,
Tricky,Bristol,
Idles,Bristol,
Kosheen,Bristol,
Jake Bugg,Nottingham,
Dog Is Dead,Nottingham,
London Grammar,Nottingham,
Ten Years After,Nottingham,
Sleaford Mods,Nottingham,
